,FACILITY,Tool,WBS,Cluster,Fab300_Begin,IIO_Begin,Fab300_End,IIO_End,Cnt,Fab300_Duration,IIO_Duration,Description,IIO_User_id,Fab300_User_id,Modules,Begin,End
105,PLINE200,SAM_AW300,38199/01132,2,2022-11-10 12:04:47,2022-11-10 12:00:00,2022-11-10 13:15:00,2022-11-10 13:00:00,1,1.1702777777777778,1.0,AL210794/3,chen70,chen70,,2022-11-10 12:00:00,2022-11-10 13:15:00
108,PLINE200,SP1_DLS,30990/32063,0,2022-10-03 16:04:13,2022-10-03 16:00:00,2022-10-03 16:21:37,2022-10-03 17:00:00,1,0.29,1.0,measurement,arnou66,gianna53,,2022-10-03 16:00:00,2022-10-03 17:00:00
109,PLINE200,SP1_DLS,30990/32063,1,2022-10-04 16:03:53,2022-10-04 16:00:00,2022-10-04 16:22:56,2022-10-04 17:00:00,1,0.3175,1.0,measurement,knaepen,tricas85,,2022-10-04 16:00:00,2022-10-04 17:00:00
110,PLINE200,SP1_DLS,30990/32063,2,2022-10-07 09:18:12,2022-10-07 09:00:00,2022-10-07 09:48:18,2022-10-07 10:00:00,1,0.5016666666666667,1.0,measurement,arnou66,arnou66,,2022-10-07 09:00:00,2022-10-07 10:00:00
111,PLINE200,SP1_DLS,30990/32063,3,2022-10-13 15:56:54,2022-10-13 16:00:00,2022-10-13 16:41:52,2022-10-13 17:00:00,1,0.7494444444444445,1.0,measurement,knaepen,tricas85,,2022-10-13 15:56:54,2022-10-13 17:00:00
112,PLINE200,SP1_DLS,30990/32063,4,2022-10-14 12:06:17,2022-10-14 12:00:00,2022-10-14 12:34:08,2022-10-14 13:00:00,1,0.46416666666666667,1.0,measurement,knaepen,arnou66,,2022-10-14 12:00:00,2022-10-14 13:00:00
113,PLINE200,SP1_DLS,30990/32063,5,2022-10-17 16:21:58,2022-10-17 16:00:00,2022-10-17 16:32:54,2022-10-17 17:00:00,1,0.18222222222222223,1.0,measurement,arnou66,arnou66,,2022-10-17 16:00:00,2022-10-17 17:00:00
114,PLINE200,SP1_DLS,30990/32063,6,2022-10-21 13:04:59,2022-10-21 13:00:00,2022-10-21 13:38:24,2022-10-21 13:30:00,1,0.5569444444444445,0.5,measurement,kizir96,gianna53,,2022-10-21 13:00:00,2022-10-21 13:38:24
115,PLINE200,SP1_DLS,30990/32063,7,2022-10-28 13:16:46,2022-10-28 13:00:00,2022-10-28 13:48:38,2022-10-28 14:00:00,1,0.5311111111111111,1.0,measurement,arnou66,arnou66,,2022-10-28 13:00:00,2022-10-28 14:00:00
116,PLINE200,SPTS_OMEGA,32299/02107,0,2022-10-18 10:27:36,2022-10-18 10:00:00,2022-10-18 11:24:27,2022-10-18 11:30:00,1,0.9475,1.5,Troubleshooting process errors l,sardo74,sardo74,PM2;PM3,2022-10-18 10:00:00,2022-10-18 11:30:00
117,PLINE200,SPTS_OMEGA,36004/01224,0,2022-10-05 16:11:19,2022-10-05 16:30:00,2022-10-05 16:38:45,2022-10-05 17:00:00,1,0.4572222222222222,0.5,POR desc 60s,nedelj21,nedelj21,PM2;PM3,2022-10-05 16:11:19,2022-10-05 17:00:00
118,PLINE200,TELACT8_750,31199/02272,0,2022-10-17 10:04:52,2022-10-17 10:00:00,2022-10-17 10:50:33,2022-10-17 11:30:00,1,0.7613888888888889,1.5,PMMA spin coat,arvind29,arvind29,,2022-10-17 10:00:00,2022-10-17 11:30:00
119,PLINE200,TEMP_BONDER,31012/00013,0,2022-10-04 08:54:07,2022-10-04 08:30:00,2022-10-04 12:34:22,2022-10-04 13:00:00,1,3.6708333333333334,4.5,SC2 TTV,uruena10,uruena10,,2022-10-04 08:30:00,2022-10-04 13:00:00
120,PLINE200,TEMP_BONDER,31012/01084,0,2022-10-26 13:35:07,2022-10-26 13:00:00,2022-10-26 17:47:01,2022-10-26 16:00:00,1,4.198333333333333,3.0,"LF1, LF2,  CO1",kennes63,kennes63,,2022-10-26 13:00:00,2022-10-26 17:47:01
121,PLINE200,TEMP_BONDER,31199/01889,0,2022-10-06 09:12:56,2022-10-06 09:00:00,2022-10-06 12:02:48,2022-10-06 12:30:00,1,2.831111111111111,3.5,SC2 syringe TTV,uruena10,uruena10,,2022-10-06 09:00:00,2022-10-06 12:30:00
122,PLINE200,TEMP_BONDER,31199/01889,1,2022-10-21 08:58:22,2022-10-21 09:00:00,2022-10-21 10:25:26,2022-10-21 10:00:00,1,1.451111111111111,1.0,TTV,uruena10,uruena10,,2022-10-21 08:58:22,2022-10-21 10:25:26
123,PLINE200,TEMP_BONDER,31199/31811,0,2022-10-05 09:43:00,2022-10-05 09:30:00,2022-10-05 10:34:13,2022-10-05 11:00:00,1,0.8536111111111111,1.5,TTV,uruena10,uruena10,,2022-10-05 09:30:00,2022-10-05 11:00:00
124,PLINE200,TEMP_BONDER,32299/00716,0,2022-10-06 12:54:57,2022-10-06 12:30:00,2022-10-06 18:32:57,2022-10-06 18:30:00,1,5.633333333333334,6.0,C3 coat -no EBR / TTV,guerrera,guerrera,,2022-10-06 12:30:00,2022-10-06 18:32:57
125,PLINE200,TEMP_BONDER,32299/00716,1,2022-10-17 10:37:56,2022-10-17 10:30:00,2022-10-17 18:16:24,2022-10-17 17:00:00,1,7.641111111111111,6.5,C3 / no ebr needed / ttv /,guerrera,guerrera,,2022-10-17 10:30:00,2022-10-17 18:16:24
126,PLINE200,TEMP_BONDER,32299/00716,2,2022-10-19 10:28:14,2022-10-19 10:30:00,2022-10-19 17:01:12,2022-10-19 17:00:00,1,6.549444444444444,6.5,C3 / TTv / LF1,guerrera,guerrera,,2022-10-19 10:28:14,2022-10-19 17:01:12
127,PLINE200,TEMP_BONDER,32299/00716,3,2022-10-20 10:42:28,2022-10-20 10:30:00,2022-10-20 17:56:43,2022-10-20 17:00:00,1,7.2375,6.5,c3/lf1/ttv,guerrera,guerrera,,2022-10-20 10:30:00,2022-10-20 17:56:43
128,PLINE200,TEMP_BONDER,32299/00716,4,2022-11-04 09:10:45,2022-11-04 09:00:00,2022-11-04 13:54:11,2022-11-04 14:00:00,1,4.723888888888889,5.0,C3 / TTV,guerrera,guerrera,,2022-11-04 09:00:00,2022-11-04 14:00:00
129,PLINE200,TEMP_BONDER,36671/01221,0,2022-11-08 14:23:54,2022-11-08 13:00:00,2022-11-08 16:24:22,2022-11-08 16:00:00,1,2.0077777777777777,3.0,TBM development,patil20,patil20,,2022-11-08 13:00:00,2022-11-08 16:24:22
130,PLINE200,TEMP_BONDER,36671/01221,1,2022-11-10 15:13:02,2022-11-10 13:00:00,2022-11-10 16:21:15,2022-11-10 17:00:00,1,1.1369444444444445,4.0,TBM development,patil20,jedidi64,,2022-11-10 13:00:00,2022-11-10 17:00:00
131,PLINE200,TEMP_BONDER,36671/01224,0,2022-10-03 07:34:14,2022-10-03 07:30:00,2022-10-03 08:29:54,2022-10-03 08:30:00,1,0.9277777777777778,1.0,Troubleshooting CO2,lefevr14,lefevr14,,2022-10-03 07:30:00,2022-10-03 08:30:00
132,PLINE200,TEMP_BONDER,36671/01224,1,2022-10-08 10:10:39,2022-10-08 10:00:00,2022-10-08 11:44:17,2022-10-08 12:00:00,1,1.5605555555555555,2.0,200 mm spc temp bonder,ameghn57,ameghn57,,2022-10-08 10:00:00,2022-10-08 12:00:00
133,PLINE200,TEMP_BONDER,36671/01224,2,2022-10-22 09:43:28,2022-10-22 09:00:00,2022-10-22 14:18:33,2022-10-22 11:30:00,1,4.584722222222222,2.5,200MM SPC,ameghn57,ameghn57,,2022-10-22 09:00:00,2022-10-22 14:18:33
134,PLINE200,TEMP_BONDER,36671/01224,3,2022-11-07 20:48:52,2022-11-07 20:00:00,2022-11-07 21:12:20,2022-11-07 21:30:00,1,0.39111111111111113,1.5,lot,han41,han41,,2022-11-07 20:00:00,2022-11-07 21:30:00
135,PLINE200,TEMP_BONDER,98500/01852,0,2022-10-04 12:56:48,2022-10-04 13:00:00,2022-10-04 20:30:56,2022-10-04 17:30:00,1,7.568888888888889,4.5,MX2 permanent bond;MX2 bonding,ghosh40,ghosh40,,2022-10-04 12:56:48,2022-10-04 20:30:56
136,PLINE200,TEMP_BONDER,98500/01852,1,2022-10-05 11:38:36,2022-10-05 12:00:00,2022-10-05 16:14:48,2022-10-05 17:00:00,1,4.6033333333333335,5.0,MX permanent bonding,ghosh40,ghosh40,,2022-10-05 11:38:36,2022-10-05 17:00:00
137,PLINE200,TEMP_BONDER,98500/01852,2,2022-10-24 11:03:49,2022-10-24 11:00:00,2022-10-24 15:55:57,2022-10-24 16:00:00,1,4.868888888888889,5.0,Evaluate coating qiality,ghosh40,ghosh40,,2022-10-24 11:00:00,2022-10-24 16:00:00
138,PLINE200,TEMP_BONDER,98500/01852,3,2022-10-25 09:56:48,2022-10-25 11:00:00,2022-10-25 15:49:26,2022-10-25 16:00:00,1,5.877222222222223,5.0,BB305 coating evaluation,ghosh40,ghosh40,,2022-10-25 09:56:48,2022-10-25 16:00:00
139,PLINE200,TEMP_BONDER,98500/01852,4,2022-11-02 10:04:22,2022-11-02 10:00:00,2022-11-02 10:37:43,2022-11-02 14:00:00,1,0.5558333333333333,4.0,BB305 coat bond,ghosh40,ghosh40,,2022-11-02 10:00:00,2022-11-02 14:00:00
140,PLINE200,TEMP_BONDER,98500/01852,5,2022-11-07 12:49:54,2022-11-07 13:00:00,2022-11-07 17:06:00,2022-11-07 16:00:00,1,4.2683333333333335,3.0,BB305 bond quality,ghosh40,ghosh40,,2022-11-07 12:49:54,2022-11-07 17:06:00
141,PLINE200,TEMP_BONDER,98500/01852,6,2022-11-08 08:13:30,2022-11-08 10:00:00,2022-11-08 13:52:21,2022-11-08 12:00:00,1,5.6475,2.0,MX2 layer transfer,ghosh40,ghosh40,,2022-11-08 08:13:30,2022-11-08 13:52:21
142,PLINE200,WETSTRIP_WB,36026/01225,0,2022-10-05 14:07:07,2022-10-05 14:00:00,2022-10-05 17:52:10,2022-10-05 17:00:00,1,3.7508333333333335,3.0,Module 1 qualification,binott43,postig14,WM2A;WM2B;WM3;WM4,2022-10-05 14:00:00,2022-10-05 17:52:10
143,PLINE200,XL30_CF,32099/01506,0,2022-10-24 10:16:25,2022-10-24 10:00:00,2022-10-24 11:59:04,2022-10-24 12:30:00,1,1.7108333333333334,2.5,meting,vdpeer,vdpeer,,2022-10-24 10:00:00,2022-10-24 12:30:00
144,PLINE200,XL30_CF,32099/01506,1,2022-11-07 13:14:43,2022-11-07 13:00:00,2022-11-07 15:42:14,2022-11-07 16:00:00,1,2.4586111111111113,3.0,Training EBSD Myriam Van De Peer,jmesse,vdpeer,,2022-11-07 13:00:00,2022-11-07 16:00:00
145,PLINE200,XL30_CF,32099/01506,2,2022-11-10 10:15:38,2022-11-10 09:00:00,2022-11-10 10:50:15,2022-11-10 11:00:00,1,0.5769444444444445,2.0,Training EBSD Myriam Van De Peer,jmesse,jmesse,,2022-11-10 09:00:00,2022-11-10 11:00:00
146,PLINE300,2830ZT,30990/32063,0,2022-10-21 08:54:51,2022-10-21 07:30:00,2022-10-21 15:56:11,2022-10-21 11:00:00,1,7.022222222222222,3.5,MAZO SPC;demo spc;MAZO,thukka30;jagalu79,thukka30,,2022-10-21 07:30:00,2022-10-21 15:56:11
147,PLINE300,2830ZT,30990/32063,1,2022-10-24 12:15:31,2022-10-24 13:00:00,2022-10-24 15:48:01,2022-10-24 15:00:00,1,3.5416666666666665,2.0,DOE,kramac15,kramac15,,2022-10-24 12:15:31,2022-10-24 15:48:01
148,PLINE300,2830ZT,30990/32063,2,2022-10-24 16:02:36,2022-10-24 17:00:00,2022-10-25 09:08:32,2022-10-25 10:00:00,3,26.261111111111113,31.0,DOE;XRF spc measurement;SPC check,jagalu79;kramac15;lukose22,kramac15,,2022-10-24 16:02:36,2022-10-25 10:00:00
149,PLINE300,2830ZT,30990/32063,5,2022-11-03 10:43:00,2022-11-03 11:00:00,2022-11-03 12:50:00,2022-11-03 13:00:00,1,2.1166666666666667,2.0,MAZO devel,thukka30,thukka30,,2022-11-03 10:43:00,2022-11-03 13:00:00
150,PLINE300,2830ZT,31499/00379,0,2022-10-06 14:15:10,2022-10-06 14:00:00,2022-10-06 14:52:21,2022-10-06 16:00:00,1,0.6197222222222222,2.0,GST composition measurement,sinha70,sinha70,,2022-10-06 14:00:00,2022-10-06 16:00:00
151,PLINE300,2830ZT,31499/00379,1,2022-10-09 23:27:50,2022-10-10 00:00:00,2022-10-10 14:23:00,2022-10-10 15:00:00,2,29.83888888888889,14.5,xrf,peissk91,peissk91,,2022-10-09 23:27:50,2022-10-10 15:00:00
152,PLINE300,2830ZT,31499/00379,3,2022-11-08 11:21:53,2022-11-08 11:00:00,2022-11-08 11:57:26,2022-11-08 13:00:00,1,0.5925,2.0,GST composition,sinha70,sinha70,,2022-11-08 11:00:00,2022-11-08 13:00:00
153,PLINE300,2830ZT,31499/01490,0,2022-10-25 10:02:57,2022-10-25 10:00:00,2022-10-25 19:23:06,2022-10-25 20:00:00,1,9.335833333333333,10.0,New XRF  recipe creation,mandal97,mandal97,,2022-10-25 10:00:00,2022-10-25 20:00:00
155,PLINE300,2830ZT,31499/02121,0,2022-11-10 14:34:34,2022-11-10 14:30:00,2022-11-10 17:05:24,2022-11-10 18:00:00,1,2.513888888888889,3.5,AE217515,devul,devul,,2022-11-10 14:30:00,2022-11-10 18:00:00
156,PLINE300,2830ZT,98500/01852,0,2022-10-07 11:37:24,2022-10-07 11:30:00,2022-10-08 08:51:48,2022-10-08 02:00:00,1,21.24,14.5,JDP work,devul,devul,,2022-10-07 11:30:00,2022-10-08 08:51:48
157,PLINE300,A412_3,30990/32063,0,2022-10-20 13:33:42,2022-10-20 12:00:00,2022-10-20 18:43:53,2022-10-20 17:00:00,1,5.169722222222222,5.0,FGA,rastog28,rastog28,LP1;PM1,2022-10-20 12:00:00,2022-10-20 18:43:53
158,PLINE300,A412_4,30990/32063,0,2022-10-17 17:30:13,2022-10-17 10:00:00,2022-10-17 17:30:34,2022-10-18 00:00:00,1,0.005833333333333334,14.0,standard Silcore runs,houben21,ceuppenj,LP1;PM2,2022-10-17 10:00:00,2022-10-18 00:00:00
159,PLINE300,A412_4,30990/32063,1,2022-10-28 03:11:04,2022-10-27 10:00:00,2022-10-28 03:33:05,2022-10-29 00:00:00,1,0.36694444444444446,38.0,DEMO Silcore;Silcore based demo,houben21,everae50,LP2;PM2,2022-10-27 10:00:00,2022-10-29 00:00:00
161,PLINE300,ALERIS,31199/01570,0,2022-10-13 15:18:23,2022-10-13 15:00:00,2022-10-13 15:45:22,2022-10-13 15:30:00,1,0.44972222222222225,0.5,APC,aubert85,sterckxg,,2022-10-13 15:00:00,2022-10-13 15:45:22
162,PLINE300,ALTUS,39424/01224,0,2022-11-05 08:42:23,2022-11-05 08:30:00,2022-11-05 11:39:56,2022-11-05 12:00:00,1,2.9591666666666665,3.5,Test develop recipe,gomezg80,gomezg80,PM3;LP3,2022-11-05 08:30:00,2022-11-05 12:00:00
163,PLINE300,ANELVA,31499/01715,0,2022-11-02 11:08:03,2022-11-02 10:30:00,2022-11-02 16:56:21,2022-11-02 17:30:00,1,5.805,7.0,H-barrier exp,witterst,witterst,LP1;CHB,2022-11-02 10:30:00,2022-11-02 17:30:00
164,PLINE300,ANELVA_3,31499/01715,0,2022-10-20 10:32:26,2022-10-20 10:00:00,2022-10-20 14:48:10,2022-10-20 14:00:00,1,4.262222222222222,4.0,time critical test for daVinci,witterst,witterst,CHE;LP3,2022-10-20 10:00:00,2022-10-20 14:48:10
165,PLINE300,ANELVA_3,38199/00534,0,2022-10-07 10:06:31,2022-10-07 10:00:00,2022-10-07 11:06:56,2022-10-07 13:00:00,1,1.0069444444444444,3.0,MTJ etch DOE,canvel12,canvel12,CHA;LP3,2022-10-07 10:00:00,2022-10-07 13:00:00
166,PLINE300,ANELVA_3,38199/01687,0,2022-10-25 16:05:54,2022-10-25 16:00:00,2022-10-25 17:39:14,2022-10-25 17:00:00,1,1.5555555555555556,1.0,Deratu project,blanc30,li17,CHA;CHB;CHC;LP3,2022-10-25 16:00:00,2022-10-25 17:39:14
167,PLINE300,ANELVA_3,38199/01884,0,2022-10-05 10:11:17,2022-10-05 10:00:00,2022-10-05 11:14:19,2022-10-05 13:00:00,1,1.0505555555555555,3.0,IBE SAWs etch,katcko10,katcko10,CHA;LP3,2022-10-05 10:00:00,2022-10-05 13:00:00
168,PLINE300,CELLESTA,32005/01717,0,2022-10-04 16:20:39,2022-10-04 09:00:00,2022-10-04 16:45:01,2022-10-04 17:00:00,1,0.4061111111111111,8.0,AE216026,annama94,binott43,SM2_4;SM2_7;SM2_9;LP3,2022-10-04 09:00:00,2022-10-04 17:00:00
169,PLINE300,CELLESTA,39422/01221,0,2022-11-03 15:16:34,2022-11-03 15:00:00,2022-11-03 17:09:06,2022-11-03 18:00:00,1,1.8755555555555556,3.0,pocket wafer test,lai86,lai86,LP4;SM2_3;SM2_4,2022-11-03 15:00:00,2022-11-03 18:00:00
170,PLINE300,CENTURA_IIIV,39421/01221,0,2022-11-04 10:04:05,2022-11-04 10:00:00,2022-11-04 15:54:43,2022-11-04 17:00:00,1,5.8438888888888885,7.0,Tuning Sicap,mauric47,mauric47,LP2;RIB,2022-11-04 10:00:00,2022-11-04 17:00:00
171,PLINE300,CIRCL,31399/00039,0,2022-10-06 06:31:21,2022-10-06 06:30:00,2022-10-06 08:45:18,2022-10-06 08:30:00,1,2.2325,2.0,Measure lot AE119298,vdweeg61,vdweeg61,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-06 06:30:00,2022-10-06 08:45:18
172,PLINE300,CIRCL,32102/01048,0,2022-10-14 06:04:57,2022-10-14 06:00:00,2022-10-14 07:26:57,2022-10-14 07:00:00,1,1.3666666666666667,1.0,AL128646,pittev,pittev,LP1;LP2;PM1;PM2;PM3,2022-10-14 06:00:00,2022-10-14 07:26:57
173,PLINE300,CIRCL,32299/00013,0,2022-10-18 08:12:59,2022-10-18 08:00:00,2022-10-18 11:26:53,2022-10-18 12:00:00,1,3.2316666666666665,4.0,PTCZ,heyvaerc,heyvaerc,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-18 08:00:00,2022-10-18 12:00:00
174,PLINE300,CIRCL,32299/00352,0,2022-11-04 10:38:10,2022-11-04 11:00:00,2022-11-04 12:29:01,2022-11-04 13:00:00,1,1.8475,2.0,Measure lot AL214908,vdweeg61,vdweeg61,LP1;PM3,2022-11-04 10:38:10,2022-11-04 13:00:00
176,PLINE300,CIRCL,36003/36503,0,2022-10-06 17:29:11,2022-10-06 17:30:00,2022-10-06 18:12:01,2022-10-06 18:30:00,1,0.7138888888888889,1.0,devinp,gompou79,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-06 17:29:11,2022-10-06 18:30:00
177,PLINE300,CIRCL,36003/36503,1,2022-10-08 13:30:12,2022-10-08 13:00:00,2022-10-08 17:44:37,2022-10-08 17:00:00,1,4.240277777777778,4.0,Devinps,gompou79,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-08 13:00:00,2022-10-08 17:44:37
178,PLINE300,CIRCL,36003/36503,2,2022-10-09 11:12:12,2022-10-09 09:00:00,2022-10-09 17:31:35,2022-10-09 17:00:00,2,12.64611111111111,7.0,Devinps,gompou79,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-09 09:00:00,2022-10-09 17:31:35
179,PLINE300,CIRCL,36003/36503,4,2022-10-11 07:08:16,2022-10-11 06:30:00,2022-10-11 12:14:50,2022-10-11 12:00:00,1,5.109444444444445,5.5,Devinps,gompou79,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-11 06:30:00,2022-10-11 12:14:50
180,PLINE300,CIRCL,36003/36503,5,2022-10-14 08:31:31,2022-10-14 08:30:00,2022-10-14 11:30:47,2022-10-14 13:00:00,1,2.9877777777777776,4.5,devinp,stiersk,stiersk,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-14 08:30:00,2022-10-14 13:00:00
181,PLINE300,CIRCL,36003/36503,6,2022-10-18 14:11:09,2022-10-18 14:00:00,2022-10-18 18:58:50,2022-10-18 18:30:00,1,4.794722222222222,4.5,Devinps,gompou79,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-18 14:00:00,2022-10-18 18:58:50
182,PLINE300,CIRCL,36003/36503,7,2022-10-19 16:08:16,2022-10-19 15:30:00,2022-10-19 18:37:53,2022-10-19 18:30:00,1,2.493611111111111,3.0,Devinps,gompou79,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-19 15:30:00,2022-10-19 18:37:53
183,PLINE300,CIRCL,36003/36503,8,2022-10-19 20:43:04,2022-10-19 19:30:00,2022-10-19 21:49:55,2022-10-19 22:00:00,1,1.1141666666666667,2.5,devinp,gompou79,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-19 19:30:00,2022-10-19 22:00:00
184,PLINE300,CIRCL,36003/36503,9,2022-10-31 13:48:01,2022-10-31 13:30:00,2022-10-31 14:54:03,2022-10-31 15:00:00,1,1.1005555555555555,1.5,devinp,stiersk,stiersk,LP1;LP2;LP3;PM1;PM2;PM3,2022-10-31 13:30:00,2022-10-31 15:00:00
185,PLINE300,CIRCL,36003/36503,10,2022-11-02 16:40:14,2022-11-02 16:30:00,2022-11-02 21:50:03,2022-11-02 22:00:00,2,10.327222222222222,4.5,Devinps,gompou79,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,2022-11-02 16:30:00,2022-11-02 22:00:00
186,PLINE300,CIRCL,36003/36503,12,2022-11-03 20:00:02,2022-11-03 20:00:00,2022-11-03 22:03:07,2022-11-03 22:00:00,1,2.051388888888889,2.0,Devinps,gompou79,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,2022-11-03 20:00:00,2022-11-03 22:03:07
187,PLINE300,CIRCL,36003/36503,13,2022-11-10 07:50:28,2022-11-10 07:00:00,2022-11-10 11:27:19,2022-11-10 11:00:00,1,3.6141666666666667,4.0,Devinps,gompou79,gompou79,LP1;LP2;LP3;PM1;PM2;PM3,2022-11-10 07:00:00,2022-11-10 11:27:19
188,PLINE300,DNS_4,30990/02249,0,2022-11-09 09:58:20,2022-11-09 10:00:00,2022-11-09 13:40:29,2022-11-09 12:00:00,1,3.7025,2.0,backside etch TMAH,stokhof,stokhof,LP1;SM2,2022-11-09 09:58:20,2022-11-09 13:40:29
189,PLINE300,DNS_4,30990/32063,0,2022-10-04 14:07:11,2022-10-04 14:00:00,2022-10-04 14:39:06,2022-10-04 15:00:00,1,0.5319444444444444,1.0,measurement,knaepen,tricas85,LP2;SM2,2022-10-04 14:00:00,2022-10-04 15:00:00
190,PLINE300,DNS_4,30990/32063,1,2022-10-05 13:40:33,2022-10-05 13:30:00,2022-10-05 14:29:18,2022-10-05 14:30:00,1,0.8125,1.0,measurement,knaepen,tricas85,LP1;SM2,2022-10-05 13:30:00,2022-10-05 14:30:00
191,PLINE300,DNS_4,30990/32063,2,2022-10-06 14:05:57,2022-10-06 14:00:00,2022-10-06 14:44:08,2022-10-06 15:00:00,1,0.6363888888888889,1.0,measurement,knaepen,tricas85,LP1;SM2,2022-10-06 14:00:00,2022-10-06 15:00:00
192,PLINE300,DNS_4,30990/32063,3,2022-10-26 11:41:33,2022-10-26 10:30:00,2022-10-26 18:23:45,2022-10-26 19:00:00,1,6.703333333333333,8.5,Recipe 201 and 252,rastog28,rastog28,LP2;SM2,2022-10-26 10:30:00,2022-10-26 19:00:00
193,PLINE300,DNS_4,31199/00650,0,2022-10-13 15:13:29,2022-10-13 15:00:00,2022-10-13 17:24:04,2022-10-13 16:00:00,1,2.176388888888889,1.0,DSA,vanbel53,vanbel53,LP1;SM1,2022-10-13 15:00:00,2022-10-13 17:24:04
194,PLINE300,DNS_4,31199/00650,1,2022-10-17 14:39:11,2022-10-17 14:30:00,2022-10-17 15:24:15,2022-10-17 15:30:00,1,0.7511111111111111,1.0,DSA,verstr99,verstr99,LP1;SM1,2022-10-17 14:30:00,2022-10-17 15:30:00
195,PLINE300,DNS_4,31199/00650,2,2022-11-07 15:28:58,2022-11-07 15:30:00,2022-11-07 17:53:42,2022-11-07 18:00:00,1,2.4122222222222223,2.5,DSA,vanbel53,vanbel53,LP1;SM1,2022-11-07 15:28:58,2022-11-07 18:00:00
196,PLINE300,DNS_4,32399/30027,0,2022-10-19 14:11:14,2022-10-19 14:00:00,2022-10-19 17:47:54,2022-10-19 18:00:00,1,3.611111111111111,4.0,TMAH at RT for haze wafer,sebai,sebai,LP2;SM2,2022-10-19 14:00:00,2022-10-19 18:00:00
197,PLINE300,DNS_5,32005/01299,0,2022-10-05 13:38:22,2022-10-05 13:30:00,2022-10-05 15:32:43,2022-10-05 15:30:00,1,1.9058333333333333,2.0,T06 and IPA tests from TAM,decost63,decost63,LP4;MPC5,2022-10-05 13:30:00,2022-10-05 15:32:43
198,PLINE300,DNS_5,32005/01299,1,2022-10-24 16:33:46,2022-10-24 16:30:00,2022-10-24 17:50:09,2022-10-24 17:30:00,1,1.2730555555555556,1.0,APM process,decost63,decost63,LP4;MPC5,2022-10-24 16:30:00,2022-10-24 17:50:09
199,PLINE300,DNS_5,32299/01084,0,2022-10-10 13:34:09,2022-10-10 13:30:00,2022-10-10 16:15:07,2022-10-10 16:00:00,1,2.682777777777778,2.5,Coordinated processing w/ SCREEN,decost63,decost63,LP4;MPC8,2022-10-10 13:30:00,2022-10-10 16:15:07
200,PLINE300,DNS_5,32299/01084,1,2022-10-17 13:58:50,2022-10-17 13:00:00,2022-10-17 16:08:23,2022-10-17 15:00:00,1,2.1591666666666667,2.0,Process glass wafer with SCREEN,uluoku73,decost63,LP1;LP2;CPC11;LP4;MPC5;MPC8;LP3,2022-10-17 13:00:00,2022-10-17 16:08:23
201,PLINE300,DNS_5,37092/02191,0,2022-10-12 10:22:23,2022-10-12 09:30:00,2022-10-12 11:23:47,2022-10-12 11:00:00,1,1.0233333333333334,1.5,T06 tests for CRB approval,decost63,decost63,LP4;MPC5,2022-10-12 09:30:00,2022-10-12 11:23:47
202,PLINE300,DNS_5,37092/02191,1,2022-10-12 17:18:03,2022-10-12 17:00:00,2022-10-12 18:05:01,2022-10-12 18:00:00,1,0.7827777777777778,1.0,Collect data for T06 CRBapproval,decost63,decost63,LP4;MPC5,2022-10-12 17:00:00,2022-10-12 18:05:01
203,PLINE300,DNS_5,37092/02191,2,2022-10-13 18:11:47,2022-10-13 17:30:00,2022-10-13 18:28:18,2022-10-13 18:30:00,1,0.2752777777777778,1.0,Process 1 wafer T06 for CRB,decost63,decost63,LP4;MPC5,2022-10-13 17:30:00,2022-10-13 18:30:00
204,PLINE300,DNS_6,30990/32063,0,2022-10-10 16:52:22,2022-10-10 17:00:00,2022-10-10 17:00:33,2022-10-10 20:00:00,1,0.1363888888888889,3.0,"Demo runs. APM, HPM",homkar65,homkar65,LP1;LP2;LP3;LP4;MPC2;MPC5;MPC8,2022-10-10 16:52:22,2022-10-10 20:00:00
205,PLINE300,DNS_6,30990/32063,1,2022-10-20 10:15:05,2022-10-20 10:00:00,2022-10-20 11:07:06,2022-10-20 11:00:00,1,0.8669444444444444,1.0,clean 10 wafers,zhou49,zhou49,LP1;MPC2,2022-10-20 10:00:00,2022-10-20 11:07:06
206,PLINE300,DNS_6,31199/31811,0,2022-10-11 07:04:49,2022-10-11 07:00:00,2022-10-11 08:33:54,2022-10-11 09:00:00,1,1.4847222222222223,2.0,HF-O3-APM clean of bare si,drent34,drent34,LP1;MPC8,2022-10-11 07:00:00,2022-10-11 09:00:00
