,WBS,Tool,FACILITY,Begin,End,Modules,Description,User_id,IIO_Res_id
1294,39992/36503,ALERIS,PLINE300,2022-11-14 06:30:00,2022-11-14 22:00:00,,PLINE use,hennebel,218
1289,39424/01224,ALTUS,PLINE300,2022-11-05 08:30:00,2022-11-05 12:00:00,LP3;PM3,Test develop recipe,gomezg80,219
979,31499/01715,ANELVA,PLINE300,2022-11-02 10:30:00,2022-11-02 17:30:00,CHB;LP1,H-barrier exp,witterst,220
980,31499/01715,ANELVA,PLINE300,2022-11-17 10:30:00,2022-11-17 13:00:00,CHB;LP1,Ti(O) H-barrier,witterst,221
113,31012/01506,ARCHER700,PLINE300,2022-11-08 11:00:00,2022-11-08 13:00:00,,recipe setup,baudem,222
114,31012/01506,ARCHER700,PLINE300,2022-11-10 13:00:00,2022-11-10 16:00:00,,setup,canga29,223
466,31199/01920,ARCHER700,PLINE300,2022-11-07 12:30:00,2022-11-07 18:00:00,,use,gronhe29,224
467,31199/01920,ARCHER700,PLINE300,2022-11-18 09:00:00,2022-11-19 00:00:00,,use,gronhe29,225
1065,32299/00588,ARCHER700,PLINE300,2022-11-07 11:00:00,2022-11-07 12:30:00,,BSPDN2,wang87,226
1263,38199/01904,ARCHER700,PLINE300,2022-11-14 10:00:00,2022-11-14 12:00:00,,training,laidler,227
1268,38199/01907,ARCHER700,PLINE300,2022-11-03 11:00:00,2022-11-03 13:00:00,,lot on hold measurement,herman57,228
1001,32005/01717,CELLESTA,PLINE300,2022-11-09 10:00:00,2022-11-09 16:00:00,LP3;LP4;SM2_4;SM2_6;SM2_7;SM2_9,AE216026,annama94,229
1002,32005/01717,CELLESTA,PLINE300,2022-11-16 13:00:00,2022-11-16 17:00:00,LP4;SM2_7;SM2_9,AE225968,annama94,230
1003,32005/01717,CELLESTA,PLINE300,2022-11-17 09:00:00,2022-11-17 12:00:00,LP3;LP4;SM2_4,AE216024,annama94,231
1283,39422/01221,CELLESTA,PLINE300,2022-11-03 15:00:00,2022-11-03 18:00:00,LP4;SM2_3;SM2_4,pocket wafer test,lai86,232
1280,39421/01221,CENTURA_IIIV,PLINE300,2022-11-04 10:00:00,2022-11-04 17:00:00,LP2;RIB,Tuning Sicap,mauric47,233
468,31199/01920,CIRCL,PLINE300,2022-11-14 14:30:00,2022-11-14 17:00:00,LP1;LP2;LP3;PM1;PM2;PM3,PWEC3,sah32,234
469,31199/01920,CIRCL,PLINE300,2022-11-16 09:00:00,2022-11-16 12:30:00,LP1;LP2;LP3;PM1;PM2;PM3,PWEC3,sah32,235
1034,32299/00013,CIRCL,PLINE300,2022-11-16 08:30:00,2022-11-16 09:00:00,LP1;LP2;LP3;PM1;PM2;PM3,meting,beirnaer,236
1062,32299/00352,CIRCL,PLINE300,2022-11-04 11:00:00,2022-11-04 13:00:00,LP1;PM3,Measure lot AL214908,vdweeg61,237
1086,32299/01899,CIRCL,PLINE300,2022-11-16 22:00:00,2022-11-16 23:00:00,LP1;LP2;LP3;PM3,AL129270,pittev,238
1087,32299/01899,CIRCL,PLINE300,2022-11-17 01:00:00,2022-11-17 02:30:00,LP1;LP2;LP3;PM3,post inspection AL129270,pittev,239
1142,36003/36502,CIRCL,PLINE300,2022-11-15 18:00:00,2022-11-15 19:00:00,LP1;LP2;LP3;PM1;PM2;PM3,PLINE to USE,guerra39,240
1145,36003/36503,CIRCL,PLINE300,2022-10-31 13:30:00,2022-10-31 15:00:00,LP1;LP2;LP3;PM1;PM2;PM3,devinp,stiersk,241
1146,36003/36503,CIRCL,PLINE300,2022-10-31 15:30:00,2022-10-31 18:30:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,242
1147,36003/36503,CIRCL,PLINE300,2022-10-31 19:30:00,2022-10-31 21:30:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,243
1148,36003/36503,CIRCL,PLINE300,2022-11-02 16:30:00,2022-11-02 18:30:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,244
1149,36003/36503,CIRCL,PLINE300,2022-11-02 19:30:00,2022-11-02 22:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,245
1150,36003/36503,CIRCL,PLINE300,2022-11-03 13:30:00,2022-11-03 18:30:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,246
1151,36003/36503,CIRCL,PLINE300,2022-11-03 20:00:00,2022-11-03 22:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,247
1152,36003/36503,CIRCL,PLINE300,2022-11-04 13:00:00,2022-11-04 16:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,248
1153,36003/36503,CIRCL,PLINE300,2022-11-07 10:00:00,2022-11-07 14:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,249
1154,36003/36503,CIRCL,PLINE300,2022-11-08 12:00:00,2022-11-08 14:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,250
1155,36003/36503,CIRCL,PLINE300,2022-11-09 09:00:00,2022-11-09 14:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,251
1156,36003/36503,CIRCL,PLINE300,2022-11-10 07:00:00,2022-11-10 11:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,252
1157,36003/36503,CIRCL,PLINE300,2022-11-10 13:00:00,2022-11-10 14:00:00,LP1;LP2;LP3;PM1;PM2;PM3,devinp,gompou79,253
1158,36003/36503,CIRCL,PLINE300,2022-11-14 17:00:00,2022-11-14 18:30:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,254
1159,36003/36503,CIRCL,PLINE300,2022-11-14 19:30:00,2022-11-14 22:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,255
1160,36003/36503,CIRCL,PLINE300,2022-11-15 14:00:00,2022-11-15 18:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,256
1161,36003/36503,CIRCL,PLINE300,2022-11-15 19:00:00,2022-11-15 21:30:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,257
1162,36003/36503,CIRCL,PLINE300,2022-11-16 17:30:00,2022-11-16 22:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,258
1163,36003/36503,CIRCL,PLINE300,2022-11-17 17:00:00,2022-11-17 22:00:00,LP1;LP2;LP3;PM1;PM2;PM3,Devinps,gompou79,259
1242,38199/00432,CIRCL,PLINE300,2022-11-07 06:30:00,2022-11-07 10:00:00,LP1;LP2;LP3;PM1;PM2;PM3,inspection lots,pittev,260
16,30990/02249,DNS_4,PLINE300,2022-11-09 10:00:00,2022-11-09 12:00:00,LP1;SM2,backside etch TMAH,stokhof,261
34,30990/32063,DNS_4,PLINE300,2022-11-03 14:00:00,2022-11-03 16:00:00,LP2;SM2,APM etch,homkar65,262
35,30990/32063,DNS_4,PLINE300,2022-11-07 13:00:00,2022-11-07 14:30:00,LP1;SM2,HF etch,jeon73,263
36,30990/32063,DNS_4,PLINE300,2022-11-09 15:00:00,2022-11-09 16:00:00,LP1;SM2,APM Etching (252),rastog28,264
37,30990/32063,DNS_4,PLINE300,2022-11-10 15:00:00,2022-11-10 16:00:00,LP1;SM2,TMAH Recipe 205 & 201,rastog28,265
135,31199/00650,DNS_4,PLINE300,2022-11-07 15:30:00,2022-11-07 18:00:00,LP1;SM1,DSA,vanbel53,266
136,31199/00650,DNS_4,PLINE300,2022-11-16 14:30:00,2022-11-16 15:00:00,LP1;SM1,DSA,verstr99,267
38,30990/32063,DNS_6,PLINE300,2022-11-02 11:30:00,2022-11-02 12:30:00,LP1;MPC2,IMEC Clean (6 wafers),rastog28,268
39,30990/32063,DNS_6,PLINE300,2022-11-07 16:00:00,2022-11-07 17:30:00,LP3;MPC2,DEMO related,homkar65,269
40,30990/32063,DNS_6,PLINE300,2022-11-14 11:00:00,2022-11-14 14:00:00,LP1;MPC5,HPM Recipe,rastog28,270
41,30990/32063,DNS_6,PLINE300,2022-11-14 12:00:00,2022-11-14 15:00:00,LP2;MPC2,IMEC Clean (215),rastog28,271
836,31199/31811,DNS_6,PLINE300,2022-11-02 15:00:00,2022-11-02 17:00:00,LP1;LP2;MPC8,HF-O3-APM CLEAN OF BARE SI,drent34,272
837,31199/31811,DNS_6,PLINE300,2022-11-07 12:00:00,2022-11-07 13:00:00,LP1;LP2;MPC8,HF-O3-APM CLEAN OF BARE SI,drent34,273
838,31199/31811,DNS_6,PLINE300,2022-11-09 07:00:00,2022-11-09 09:00:00,LP1;LP2;MPC8,HF-O3-APM CLEAN OF BARE SI,drent34,274
927,31499/00379,DNS_6,PLINE300,2022-11-16 15:00:00,2022-11-16 15:30:00,LP4;MPC2,imec clean,peissk91,275
1007,32005/02270,DVPRIME_1,PLINE300,2022-11-15 13:00:00,2022-11-15 17:00:00,LP3;PM_R1,HF/HNO3 WER test,lai86,276
1066,32299/00588,DVPRIME_1,PLINE300,2022-11-17 13:00:00,2022-11-17 17:00:00,LP3;PM_R1,Wafer thinning development,lai86,277
1185,36026/01967,DVPRIME_1,PLINE300,2022-10-31 09:30:00,2022-10-31 13:30:00,LP1;LP2;LP3;LP4;PM_R2,BS/BVL LF development,dith82,278
1186,36026/01967,DVPRIME_1,PLINE300,2022-11-10 10:00:00,2022-11-10 12:00:00,LP1;LP2;LP3;LP4;PM_R2,T3 LF process development,dith82,279
1187,36026/01967,DVPRIME_1,PLINE300,2022-11-10 13:00:00,2022-11-10 16:00:00,LP1;LP2;LP3;LP4;PM_R2,LF process development,dith82,280
1236,37092/02174,DVPRIME_1,PLINE300,2022-10-31 13:30:00,2022-10-31 17:00:00,LP1;PM_L1;PM_L2,prcoess hold lot with BS APM,lai86,281
1237,37092/02174,DVPRIME_1,PLINE300,2022-11-09 09:00:00,2022-11-09 12:00:00,LP2;LP3;PM_L1;PM_L2;PM_R1,prcoess hold lot with BS APM,lai86,282
1462,98600/31827,DVPRIME_1,PLINE300,2022-11-07 14:00:00,2022-11-07 16:00:00,LP1;LP2;LP3;LP4;PM_L2,LF process development,dith82,283
1463,98600/31827,DVPRIME_1,PLINE300,2022-11-08 13:00:00,2022-11-08 16:00:00,LP1;LP2;LP3;LP4;PM_R2,LF process development,dith82,284
1464,98600/31827,DVPRIME_1,PLINE300,2022-11-09 13:00:00,2022-11-09 16:00:00,LP1;LP2;LP3;LP4;PM_R2,LF process development,dith82,285
172,31199/00653,EBEAM300,PLINE300,2022-11-04 06:00:00,2022-11-04 18:00:00,,/,vandeney,286
839,31199/31811,EBEAM300,PLINE300,2022-11-09 14:00:00,2022-11-09 17:00:00,,training on allignment,sterckxg,287
840,31199/31811,EBEAM300,PLINE300,2022-11-15 06:30:00,2022-11-15 08:00:00,,Sample practice on alignment.,sterckxg,288
841,31199/31811,EBEAM300,PLINE300,2022-11-16 06:30:00,2022-11-16 08:30:00,,alignment training on samples.,sterckxg,289
842,31199/31811,EBEAM300,PLINE300,2022-11-16 11:30:00,2022-11-16 13:00:00,,prac,das10,290
843,31199/31811,EBEAM300,PLINE300,2022-11-17 07:30:00,2022-11-17 09:30:00,,practice on coupons,sterckxg,291
844,31199/31811,EBEAM300,PLINE300,2022-11-17 10:00:00,2022-11-17 12:00:00,,prac,das10,292
845,31199/31811,EBEAM300,PLINE300,2022-11-18 06:30:00,2022-11-18 10:30:00,,coupon practising with alignment;prac,das10;sterckxg,293
1189,36056/36502,EBEAM300,PLINE300,2022-11-07 13:30:00,2022-11-07 23:30:00,,training Sander and coupons,jussot18,294
0,00999/00505,EDR7100,PLINE300,2022-11-09 19:00:00,2022-11-09 20:00:00,PM,testing,janard53,295
137,31199/00650,EDR7100,PLINE300,2022-10-31 10:00:00,2022-10-31 12:00:00,PM,DSA,vanbel53,296
269,31199/01321,EDR7100,PLINE300,2022-11-04 14:30:00,2022-11-04 16:00:00,PM,d,gupta76,297
337,31199/01655,EDR7100,PLINE300,2022-11-07 08:00:00,2022-11-07 10:00:00,PM,q,vdbroecn,298
338,31199/01655,EDR7100,PLINE300,2022-11-14 08:00:00,2022-11-14 10:00:00,PM,q D11 all rest,vdbroecn,299
341,31199/01680,EDR7100,PLINE300,2022-11-02 14:00:00,2022-11-02 16:00:00,PM,Rinse,kampit73,300
444,31199/01918,EDR7100,PLINE300,2022-11-14 10:00:00,2022-11-14 11:30:00,PM,recipe,tamadd54,301
445,31199/01918,EDR7100,PLINE300,2022-11-16 13:00:00,2022-11-16 15:00:00,PM,recipe,tamadd54,302
470,31199/01920,EDR7100,PLINE300,2022-11-04 17:00:00,2022-11-04 19:00:00,PM,PWEC3,sah32,303
471,31199/01920,EDR7100,PLINE300,2022-11-07 10:00:00,2022-11-07 12:00:00,PM,PWEC3,sah32,304
472,31199/01920,EDR7100,PLINE300,2022-11-07 13:00:00,2022-11-07 19:00:00,PM,PWEC3,sah32,305
473,31199/01920,EDR7100,PLINE300,2022-11-09 15:00:00,2022-11-09 19:00:00,PM,pwec,sah32,306
474,31199/01920,EDR7100,PLINE300,2022-11-16 15:00:00,2022-11-16 19:00:00,PM,PWEC3,sah32,307
475,31199/01920,EDR7100,PLINE300,2022-11-17 09:00:00,2022-11-17 10:00:00,PM,PWEC3,sah32,308
476,31199/01920,EDR7100,PLINE300,2022-11-17 15:00:00,2022-11-17 17:00:00,PM,pwec,vdheuvel,309
492,31199/01988,EDR7100,PLINE300,2022-11-03 17:00:00,2022-11-03 19:00:00,PM,meas,chowri97,310
493,31199/01988,EDR7100,PLINE300,2022-11-04 08:30:00,2022-11-04 10:00:00,PM,review,chowri97,311
494,31199/01988,EDR7100,PLINE300,2022-11-16 11:00:00,2022-11-16 12:00:00,PM,meas;review,chowri97,312
562,31199/02241,EDR7100,PLINE300,2022-11-04 16:00:00,2022-11-04 17:00:00,PM,measurement,usmani63,313
563,31199/02241,EDR7100,PLINE300,2022-11-09 06:00:00,2022-11-09 07:00:00,PM,measurement,usmani63,314
564,31199/02241,EDR7100,PLINE300,2022-11-17 06:30:00,2022-11-17 08:00:00,PM,measurment,usmani63,315
570,31199/02273,EDR7100,PLINE300,2022-11-15 15:00:00,2022-11-15 17:00:00,PM,for kamaal,hareen73,316
571,31199/02273,EDR7100,PLINE300,2022-11-17 13:00:00,2022-11-17 15:00:00,PM,Inspection,johnsu91,317
626,31199/30079,EDR7100,PLINE300,2022-11-03 13:00:00,2022-11-03 17:00:00,PM,recipe;test,dilien72;schollw,318
627,31199/30079,EDR7100,PLINE300,2022-11-04 10:00:00,2022-11-04 12:00:00,PM,test,dilien72,319
628,31199/30079,EDR7100,PLINE300,2022-11-05 16:00:00,2022-11-05 18:00:00,PM,test,robber85,320
629,31199/30079,EDR7100,PLINE300,2022-11-06 16:00:00,2022-11-06 18:00:00,PM,test,robber85,321
754,31199/31147,EDR7100,PLINE300,2022-11-04 13:00:00,2022-11-04 14:30:00,PM,rax,kim69,322
755,31199/31147,EDR7100,PLINE300,2022-11-18 09:00:00,2022-11-18 11:00:00,PM,rax,kim69,323
767,31199/31191,EDR7100,PLINE300,2022-10-31 06:00:00,2022-10-31 08:00:00,PM,scrnjdp,vanderey,324
768,31199/31191,EDR7100,PLINE300,2022-11-09 07:00:00,2022-11-09 08:00:00,PM,hotspot,vanderey,325
769,31199/31191,EDR7100,PLINE300,2022-11-15 13:00:00,2022-11-15 15:00:00,PM,scrjdp,vanderey,326
770,31199/31191,EDR7100,PLINE300,2022-11-16 06:00:00,2022-11-16 08:00:00,PM,scrjdp,vanderey,327
796,31199/31247,EDR7100,PLINE300,2022-11-08 11:00:00,2022-11-08 12:00:00,PM,Inpria,giorda12,328
1112,32414/32513,EDR7100,PLINE300,2022-11-03 10:00:00,2022-11-03 12:00:00,PM,Manual inspection,davide98,329
1063,32299/00352,ENDURA,PLINE300,2022-11-17 07:30:00,2022-11-17 12:30:00,CH3;CH5;CHC;CHE;LP1;LP2,SOI processing,wellens,330
1088,32299/01899,ENDURA,PLINE300,2022-11-15 07:30:00,2022-11-15 12:00:00,CH3;CH5;CHC;CHE;LP1;LP2,SOI processing,wellens,331
385,31199/01765,ENDURA_2,PLINE300,2022-11-17 16:30:00,2022-11-17 18:30:00,CH3;CHE;LP1,Ru dep at 250C,mandal97,332
955,31499/01284,ENDURA_3,PLINE300,2022-11-14 13:00:00,2022-11-14 18:00:00,CH3;CHE;LP1,Room Temperature depositions,dekkers,333
956,31499/01284,ENDURA_3,PLINE300,2022-11-15 13:00:00,2022-11-15 17:30:00,CH3;CHE;LP1,Low T IGZO,dekkers,334
957,31499/01284,ENDURA_3,PLINE300,2022-11-16 16:00:00,2022-11-16 18:00:00,CH3;CHE;LP1,Low T IGZO deposition,dekkers,335
386,31199/01765,ENDURA_5,PLINE300,2022-11-17 08:30:00,2022-11-17 10:00:00,CH1_MC;CHE;LP1,Ru Dep,mandal97,336
387,31199/01765,ENDURA_5,PLINE300,2022-11-17 17:30:00,2022-11-17 18:30:00,CH1_MC;CHE;LP1,Ru dep on passivated surface,mandal97,337
884,31299/01284,ENDURA_5,PLINE300,2022-11-07 14:00:00,2022-11-07 19:00:00,CH4_MC;CHE;LP2,IGZO,agiann70,338
885,31299/01284,ENDURA_5,PLINE300,2022-11-09 14:00:00,2022-11-09 17:00:00,CH4_MC;CHE;LP2,spinel IGZO,agiann70,339
902,31399/00039,ENDURA_5,PLINE300,2022-11-15 09:00:00,2022-11-15 10:00:00,CH1_MC;CHE;LP1,Development NbTiN at 420C,soulie26,340
958,31499/01284,ENDURA_5,PLINE300,2022-11-08 10:00:00,2022-11-08 18:00:00,CH4_MC;CHE;LP1,GZO,dekkers,341
988,31499/02121,ENDURA_5,PLINE300,2022-11-07 11:30:00,2022-11-07 16:00:00,CHF;LP1,Preclean tests,devul,342
1224,37037/02098,ENDURA_5,PLINE300,2022-11-14 12:30:00,2022-11-15 00:00:00,CH2_MC;CH3;CHE;LP1;LP2,development AE229203,devul,343
1225,37037/02098,ENDURA_5,PLINE300,2022-11-15 10:00:00,2022-11-15 19:00:00,LP2,development AE229203,devul,344
1226,37037/02098,ENDURA_5,PLINE300,2022-11-15 10:00:00,2022-11-16 00:00:00,CH2_MC;CH3;CHE;LP1,development AE229203,devul,345
1227,37037/02098,ENDURA_5,PLINE300,2022-11-16 10:30:00,2022-11-16 20:00:00,CH2_MC;CH3;CHE;LP1,development high T,devul,346
1255,38199/01593,ENDURA_5,PLINE300,2022-11-07 11:30:00,2022-11-07 14:00:00,CH2_MC;LP2,burn in new target,devul,347
1256,38199/01593,ENDURA_5,PLINE300,2022-11-08 10:30:00,2022-11-08 18:00:00,CH2_MC;LP2,burn in new target,devul,348
1357,43900/02205,ENDURA_5,PLINE300,2022-10-31 10:00:00,2022-10-31 17:00:00,CH1_MC;CHE;LP1,Development of NbTiN at 420oC,soulie26,349
1358,43900/02205,ENDURA_5,PLINE300,2022-11-07 16:00:00,2022-11-07 19:00:00,CH1_MC;CH2_MC;LP1,Nb/Si/Nb/Ru JJ stack,piao23,350
1359,43900/02205,ENDURA_5,PLINE300,2022-11-09 17:00:00,2022-11-09 20:00:00,CH1_MC;CH2_MC;CHE;LP1,Nb-Si-Nb trilayers deposition,perezl56,351
173,31199/00653,EP5,PLINE300,2022-10-31 12:00:00,2022-10-31 15:00:00,PM,Training Marcus and Kalai,schoof76,352
174,31199/00653,EP5,PLINE300,2022-11-04 12:00:00,2022-11-04 14:00:00,SN,APC-EPE,hasan30,353
175,31199/00653,EP5,PLINE300,2022-11-04 13:00:00,2022-11-04 15:00:00,PM,APC-Andreas,hasan30,354
176,31199/00653,EP5,PLINE300,2022-11-07 09:00:00,2022-11-07 12:00:00,PM,bnvvnc bc,schoof76,355
177,31199/00653,EP5,PLINE300,2022-11-07 11:00:00,2022-11-07 12:00:00,SN,fdfdfdfa,schoof76,356
178,31199/00653,EP5,PLINE300,2022-11-08 11:00:00,2022-11-08 11:30:00,PM,sdbfsgfbffffffffffffffffffffffff,schoof76,357
179,31199/00653,EP5,PLINE300,2022-11-08 14:00:00,2022-11-08 16:30:00,SN,APC;argafd,hasan30;schoof76,358
228,31199/01057,EP5,PLINE300,2022-10-31 10:00:00,2022-10-31 12:00:00,SN,rewfwef,schoof76,359
229,31199/01057,EP5,PLINE300,2022-10-31 15:00:00,2022-10-31 17:00:00,SN,xcbzb,schoof76,360
230,31199/01057,EP5,PLINE300,2022-11-02 09:00:00,2022-11-02 12:00:00,SN,wegwegt,schoof76,361
231,31199/01057,EP5,PLINE300,2022-11-04 15:00:00,2022-11-04 18:00:00,PM,aerg,schoof76,362
232,31199/01057,EP5,PLINE300,2022-11-07 09:00:00,2022-11-07 11:00:00,SN,APC,schelc12,363
233,31199/01057,EP5,PLINE300,2022-11-07 12:00:00,2022-11-07 13:00:00,SN,APC,schelc12,364
234,31199/01057,EP5,PLINE300,2022-11-07 15:00:00,2022-11-07 16:30:00,PM,For Max,delorm67,365
235,31199/01057,EP5,PLINE300,2022-11-08 09:30:00,2022-11-08 14:00:00,SN,APC,schelc12,366
236,31199/01057,EP5,PLINE300,2022-11-08 15:00:00,2022-11-08 18:00:00,PM,APC,schelc12,367
237,31199/01057,EP5,PLINE300,2022-11-08 18:00:00,2022-11-08 21:30:00,SN,APC,schelc12,368
238,31199/01057,EP5,PLINE300,2022-11-09 08:30:00,2022-11-09 09:30:00,SN,APC,schelc12,369
239,31199/01057,EP5,PLINE300,2022-11-09 09:00:00,2022-11-09 10:30:00,PM,For Max,delorm67,370
240,31199/01057,EP5,PLINE300,2022-11-09 13:00:00,2022-11-09 15:00:00,PM,APC,schelc12,371
241,31199/01057,EP5,PLINE300,2022-11-09 13:00:00,2022-11-09 17:30:00,SN,APC;adsf,schelc12;schoof76,372
242,31199/01057,EP5,PLINE300,2022-11-09 21:00:00,2022-11-10 09:30:00,PM,For Max,delorm67,373
277,31199/01391,EP5,PLINE300,2022-10-31 10:00:00,2022-10-31 12:00:00,PM,APC,hasan30,374
278,31199/01391,EP5,PLINE300,2022-11-02 20:30:00,2022-11-02 22:30:00,SN,APC,hasan30,375
279,31199/01391,EP5,PLINE300,2022-11-03 21:00:00,2022-11-03 23:00:00,PM,APC,hasan30,376
280,31199/01391,EP5,PLINE300,2022-11-07 13:30:00,2022-11-07 15:00:00,PM,APC,hasan30,377
281,31199/01391,EP5,PLINE300,2022-11-07 20:00:00,2022-11-08 04:00:00,PM,APC,hasan30,378
282,31199/01391,EP5,PLINE300,2022-11-08 18:00:00,2022-11-08 20:00:00,PM,opo,canga29,379
283,31199/01391,EP5,PLINE300,2022-11-08 21:00:00,2022-11-09 04:00:00,PM,APC,hasan30,380
322,31199/01565,EP5,PLINE300,2022-11-08 09:00:00,2022-11-08 11:00:00,PM,asdfasdfasdfasdfsadfsadfasdfasdf,baskar86,381
323,31199/01565,EP5,PLINE300,2022-11-09 15:00:00,2022-11-09 15:30:00,PM,recipe check,frommh38,382
324,31199/01565,EP5,PLINE300,2022-11-15 09:00:00,2022-11-15 11:00:00,PM,rqereq,baskar86,383
373,31199/01755,EP5,PLINE300,2022-11-05 10:00:00,2022-11-05 12:00:00,PM,T2T Madiran,kissoo12,384
408,31199/01876,EP5,PLINE300,2022-11-07 15:00:00,2022-11-07 16:30:00,SN,APC,hasan30,385
446,31199/01918,EP5,PLINE300,2022-11-04 15:00:00,2022-11-04 17:30:00,SN,Madiran T2T Syama,kissoo12,386
495,31199/01988,EP5,PLINE300,2022-10-31 12:00:00,2022-10-31 15:00:00,SN,TAPES3,yang33,387
496,31199/01988,EP5,PLINE300,2022-11-01 18:00:00,2022-11-01 21:00:00,PM,TAPES3,yang33,388
497,31199/01988,EP5,PLINE300,2022-11-04 18:00:00,2022-11-04 21:00:00,PM,TAPES3,yang33,389
542,31199/01995,EP5,PLINE300,2022-11-02 13:00:00,2022-11-02 15:00:00,PM,arg,schoof76,390
543,31199/01995,EP5,PLINE300,2022-11-08 12:00:00,2022-11-08 15:00:00,PM,training,schoof76,391
544,31199/01995,EP5,PLINE300,2022-11-09 10:30:00,2022-11-09 13:00:00,PM,ythrjtytytj,schoof76,392
939,31499/00880,EPSILON3200,PLINE300,2022-11-02 18:00:00,2022-11-03 14:00:00,,WS2 CVD,groven85,393
940,31499/00880,EPSILON3200,PLINE300,2022-11-16 10:00:00,2022-11-16 11:00:00,,WS2 CVD for ASD,groven85,394
941,31499/00880,EPSILON3200,PLINE300,2022-11-16 12:00:00,2022-11-17 16:00:00,,WS2 CVD for ASD,groven85,395
1291,39424/01224,EXTREME_1,PLINE300,2022-10-31 11:00:00,2022-10-31 14:30:00,LP1;PM2,Oxide depositions,gomezg80,396
328,31199/01617,EXTREME_2,PLINE300,2022-11-09 13:00:00,2022-11-09 18:00:00,LP1;LP2;PM1,p,goovae19,397
329,31199/01617,EXTREME_2,PLINE300,2022-11-14 09:00:00,2022-11-14 12:00:00,LP1;LP2;LP3;PM1,p,goovae19,398
447,31199/01918,EXTREME_2,PLINE300,2022-11-02 09:00:00,2022-11-02 12:00:00,LP1;LP2;PM1,p,goovae19,399
984,31499/01951,EXTREME_2,PLINE300,2022-11-03 08:30:00,2022-11-03 12:00:00,LP1;PM1,400C AHM on SiO2,pasqua16,400
1476,98601/01062,EXTREME_2,PLINE300,2022-11-17 09:00:00,2022-11-17 12:30:00,LP1;LP2;LP3;PM1,p,goovae19,401
42,30990/32063,F5_SCD,PLINE300,2022-11-08 10:30:00,2022-11-08 11:00:00,,SPC check,jagalu79,402
43,30990/32063,F5_SCD,PLINE300,2022-11-08 14:00:00,2022-11-08 15:00:00,,Internal processing,rahmat49,403
886,31299/01284,F5_SCD,PLINE300,2022-11-03 16:00:00,2022-11-03 17:00:00,,IGZO,agiann70,404
887,31299/01284,F5_SCD,PLINE300,2022-11-10 16:00:00,2022-11-10 16:30:00,,IGZO,agiann70,405
959,31499/01284,F5_SCD,PLINE300,2022-10-31 12:00:00,2022-10-31 13:00:00,,MAZO w/ H2O recipe development,pavel13,406
960,31499/01284,F5_SCD,PLINE300,2022-11-03 14:00:00,2022-11-03 15:00:00,,MAZO with H2O process and recipe,pavel13,407
961,31499/01284,F5_SCD,PLINE300,2022-11-04 10:00:00,2022-11-04 10:30:00,,MAZO with H2O process and recipe,pavel13,408
962,31499/01284,F5_SCD,PLINE300,2022-11-07 08:30:00,2022-11-07 09:00:00,,"GaO, ZnO, InO, IGZO dep rates",agiann70,409
963,31499/01284,F5_SCD,PLINE300,2022-11-07 10:00:00,2022-11-07 11:00:00,,MAZO w/ H2O process development,pavel13,410
964,31499/01284,F5_SCD,PLINE300,2022-11-07 14:00:00,2022-11-07 15:00:00,,MAZO w/ H2O process development,pavel13,411
965,31499/01284,F5_SCD,PLINE300,2022-11-07 16:00:00,2022-11-07 16:30:00,,ZnO dep rate,agiann70,412
966,31499/01284,F5_SCD,PLINE300,2022-11-08 10:00:00,2022-11-08 10:30:00,,"ZnO, 21 points",agiann70,413
967,31499/01284,F5_SCD,PLINE300,2022-11-14 14:30:00,2022-11-14 15:00:00,,MAZO w/ H2O process development,pavel13,414
968,31499/01284,F5_SCD,PLINE300,2022-11-15 12:00:00,2022-11-15 13:00:00,,MAZO w/ H2O process development,pavel13,415
969,31499/01284,F5_SCD,PLINE300,2022-11-16 12:00:00,2022-11-16 13:00:00,,MAZO w/ H2O process development,pavel13,416
970,31499/01284,F5_SCD,PLINE300,2022-11-17 12:00:00,2022-11-17 13:00:00,,MAZO w/ H2O process recipe devel,pavel13,417
1214,37013/01883,F5_SCD,PLINE300,2022-11-04 10:30:00,2022-11-04 11:00:00,,thickness measurement,kadir70,418
1215,37013/01883,F5_SCD,PLINE300,2022-11-15 14:00:00,2022-11-15 14:30:00,,blanket measurement,kadir70,419
